# of variables,1,Sweep points,601,Parametric points,1,
Vd,Vs,Id,Is,time_s,Id_dens,Ron
-1.085000E+1,0.000000E+0,-4.670961E-4,4.670859E-4,-3.014651E+1,7.784935E-3,1.280010E+4
-1.090000E+1,0.000000E+0,-4.669012E-4,4.668918E-4,-3.007942E+1,7.781687E-3,1.539185E+4
-1.095000E+1,0.000000E+0,-4.670184E-4,4.670078E-4,-3.001360E+1,7.783640E-3,-2.559702E+4
-1.100000E+1,0.000000E+0,-4.669121E-4,4.669022E-4,-2.994649E+1,7.781868E-3,2.820997E+4
-1.105000E+1,0.000000E+0,-4.666387E-4,4.666287E-4,-2.988064E+1,7.777312E-3,1.097521E+4
-1.110000E+1,0.000000E+0,-4.667258E-4,4.667160E-4,-2.981185E+1,7.778764E-3,-3.442860E+4
-1.115000E+1,0.000000E+0,-4.670047E-4,4.669943E-4,-2.974503E+1,7.783412E-3,-1.075871E+4
-1.120000E+1,0.000000E+0,-4.670460E-4,4.670360E-4,-2.967893E+1,7.784101E-3,-7.253991E+4
-1.125000E+1,0.000000E+0,-4.670385E-4,4.670284E-4,-2.961224E+1,7.783976E-3,3.995318E+5
-1.130000E+1,0.000000E+0,-4.669307E-4,4.669215E-4,-2.954500E+1,7.782178E-3,2.780664E+4
-1.135000E+1,0.000000E+0,-4.670703E-4,4.670602E-4,-2.947918E+1,7.784506E-3,-2.147484E+4
-1.140000E+1,0.000000E+0,-4.671977E-4,4.671880E-4,-2.941218E+1,7.786628E-3,-2.356096E+4
-1.145000E+1,0.000000E+0,-4.672152E-4,4.672047E-4,-2.934633E+1,7.786920E-3,-1.712279E+5
-1.150000E+1,0.000000E+0,-4.670000E-4,4.669894E-4,-2.927954E+1,7.783334E-3,1.394281E+4
-1.155000E+1,0.000000E+0,-4.669229E-4,4.669115E-4,-2.921272E+1,7.782048E-3,3.889782E+4
-1.160000E+1,0.000000E+0,-4.667270E-4,4.667157E-4,-2.914574E+1,7.778784E-3,1.531638E+4
-1.165000E+1,0.000000E+0,-4.667872E-4,4.667757E-4,-2.907991E+1,7.779787E-3,-4.984488E+4
-1.170000E+1,0.000000E+0,-4.670061E-4,4.669962E-4,-2.901270E+1,7.783435E-3,-1.370552E+4
-1.175000E+1,0.000000E+0,-4.668981E-4,4.668881E-4,-2.894650E+1,7.781635E-3,2.777667E+4
-1.180000E+1,0.000000E+0,-4.669695E-4,4.669591E-4,-2.887985E+1,7.782825E-3,-4.202169E+4
-1.185000E+1,0.000000E+0,-4.669262E-4,4.669163E-4,-2.881302E+1,7.782104E-3,6.932025E+4
-1.190000E+1,0.000000E+0,-4.668296E-4,4.668193E-4,-2.874617E+1,7.780493E-3,3.103861E+4
-1.195000E+1,0.000000E+0,-4.667670E-4,4.667565E-4,-2.868034E+1,7.779450E-3,4.792153E+4
-1.200000E+1,0.000000E+0,-4.665538E-4,4.665436E-4,-2.861352E+1,7.775897E-3,1.407609E+4
-1.205000E+1,0.000000E+0,-4.667884E-4,4.667779E-4,-2.854725E+1,7.779807E-3,-1.278898E+4
-1.210000E+1,0.000000E+0,-4.669436E-4,4.669327E-4,-2.847983E+1,7.782394E-3,-1.932856E+4
-1.215000E+1,0.000000E+0,-4.674031E-4,4.673927E-4,-2.841398E+1,7.790051E-3,-6.529787E+3
-1.220000E+1,0.000000E+0,-4.669518E-4,4.669410E-4,-2.834698E+1,7.782529E-3,6.647270E+3
-1.225000E+1,0.000000E+0,-4.667884E-4,4.667777E-4,-2.828088E+1,7.779807E-3,1.836764E+4
-1.230000E+1,0.000000E+0,-4.668281E-4,4.668180E-4,-2.821403E+1,7.780469E-3,-7.557127E+4
-1.235000E+1,0.000000E+0,-4.668368E-4,4.668261E-4,-2.814754E+1,7.780614E-3,-3.447465E+5
-1.240000E+1,0.000000E+0,-4.669167E-4,4.669059E-4,-2.808149E+1,7.781945E-3,-3.755163E+4
-1.245000E+1,0.000000E+0,-4.668555E-4,4.668440E-4,-2.801513E+1,7.780926E-3,4.903864E+4
-1.250000E+1,0.000000E+0,-4.667435E-4,4.667328E-4,-2.794831E+1,7.779058E-3,2.677382E+4
-1.255000E+1,0.000000E+0,-4.667586E-4,4.667472E-4,-2.788208E+1,7.779310E-3,-1.982293E+5
-1.260000E+1,0.000000E+0,-4.666368E-4,4.666251E-4,-2.781433E+1,7.777280E-3,2.462475E+4
-1.265000E+1,0.000000E+0,-4.666001E-4,4.665890E-4,-2.774809E+1,7.776668E-3,8.174402E+4
-1.270000E+1,0.000000E+0,-4.665851E-4,4.665743E-4,-2.768194E+1,7.776418E-3,1.997659E+5
-1.275000E+1,0.000000E+0,-4.667760E-4,4.667651E-4,-2.761514E+1,7.779600E-3,-1.571090E+4
-1.280000E+1,0.000000E+0,-4.669613E-4,4.669501E-4,-2.754833E+1,7.782688E-3,-1.619215E+4
-1.285000E+1,0.000000E+0,-4.666705E-4,4.666593E-4,-2.748184E+1,7.777842E-3,1.031721E+4
-1.290000E+1,0.000000E+0,-4.668025E-4,4.667911E-4,-2.741498E+1,7.780042E-3,-2.272971E+4
-1.295000E+1,0.000000E+0,-4.667744E-4,4.667632E-4,-2.734889E+1,7.779573E-3,1.065969E+5
-1.300000E+1,0.000000E+0,-4.666079E-4,4.665962E-4,-2.728207E+1,7.776799E-3,1.802714E+4
-1.305000E+1,0.000000E+0,-4.667244E-4,4.667123E-4,-2.721522E+1,7.778740E-3,-2.575693E+4
-1.310000E+1,0.000000E+0,-4.667814E-4,4.667704E-4,-2.714886E+1,7.779690E-3,-5.264516E+4
-1.315000E+1,0.000000E+0,-4.666279E-4,4.666166E-4,-2.708204E+1,7.777131E-3,1.953738E+4
-1.320000E+1,0.000000E+0,-4.667454E-4,4.667344E-4,-2.701565E+1,7.779090E-3,-2.552097E+4
-1.325000E+1,0.000000E+0,-4.667273E-4,4.667160E-4,-2.694882E+1,7.778788E-3,1.654562E+5
-1.330000E+1,0.000000E+0,-4.667224E-4,4.667111E-4,-2.688260E+1,7.778706E-3,6.135668E+5
-1.335000E+1,0.000000E+0,-4.666620E-4,4.666522E-4,-2.681581E+1,7.777699E-3,4.965280E+4
-1.340000E+1,0.000000E+0,-4.665860E-4,4.665751E-4,-2.674999E+1,7.776433E-3,3.949395E+4
-1.345000E+1,0.000000E+0,-4.666112E-4,4.666007E-4,-2.668314E+1,7.776853E-3,-1.191667E+5
-1.350000E+1,0.000000E+0,-4.666828E-4,4.666715E-4,-2.661639E+1,7.778047E-3,-4.188509E+4
-1.355000E+1,0.000000E+0,-4.668594E-4,4.668471E-4,-2.655013E+1,7.780990E-3,-1.699015E+4
-1.360000E+1,0.000000E+0,-4.669980E-4,4.669866E-4,-2.648375E+1,7.783300E-3,-2.164166E+4
-1.365000E+1,0.000000E+0,-4.668011E-4,4.667897E-4,-2.641679E+1,7.780018E-3,1.523488E+4
-1.370000E+1,0.000000E+0,-4.667238E-4,4.667131E-4,-2.635030E+1,7.778730E-3,3.882456E+4
-1.375000E+1,0.000000E+0,-4.668032E-4,4.667931E-4,-2.628348E+1,7.780053E-3,-3.778564E+4
